StartTime: 2025-07-09 15:38:06
Timestamp;W;A;D;Space;HP;HRV;State;Breathing;Death;EnemiesVisible;Checkpoint;X;Y
1,27;0;0;0;0;85;28;0;0;0;0;0;-14,00;-8,37
1,28;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
1,30;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
1,32;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
1,33;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
1,35;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
1,37;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
1,38;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
1,40;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
1,42;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
1,43;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
1,45;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
1,47;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
1,48;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
1,50;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
1,52;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
1,53;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
1,55;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
1,57;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
1,58;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
1,60;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
1,62;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
1,63;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
1,65;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
1,67;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
1,68;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
1,70;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
1,72;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
1,73;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
1,75;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
1,77;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
1,78;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
1,80;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
1,81;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
1,83;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
1,85;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
1,86;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
1,88;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
1,90;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
1,91;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
1,93;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
1,95;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
1,96;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
1,98;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,00;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,01;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,03;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,05;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,06;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,08;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,10;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,11;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,13;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,15;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,16;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,18;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,20;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,21;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,23;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,25;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,26;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,28;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,30;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,31;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,33;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,35;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,36;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
2,38;0;0;0;0;85;28;0;0;0;0;0;-14,00;-9,13
