StartTime: 2025-07-09 14:39:55
Timestamp;W;A;D;Space;HP;HRV;State;Breathing;Death;EnemiesVisible;Checkpoint;X;Y
0,00;0;0;0;0;85;0;0;0;0;0;0;-14,00;20,19
0,00;0;0;0;0;85;34;1;0;0;0;0;-14,00;20,19
0,02;0;0;0;0;85;34;1;0;0;0;0;-14,00;20,16
0,04;0;0;0;0;85;34;1;0;0;0;0;-14,00;20,12
0,05;0;0;0;0;85;34;1;0;0;0;0;-14,00;20,06
0,07;0;0;0;0;85;34;1;0;0;0;0;-14,00;19,99
0,09;0;0;0;0;85;34;1;0;0;0;0;-14,00;19,91
0,10;0;0;0;0;85;34;1;0;0;0;0;-14,00;19,91
0,12;0;0;0;0;85;34;1;0;0;0;0;-14,00;19,82
0,14;0;0;0;0;85;34;1;0;0;0;0;-14,00;19,71
0,15;0;0;0;0;85;34;1;0;0;0;0;-14,00;19,58
0,17;0;0;0;0;85;34;1;0;0;0;0;-14,00;19,44
0,19;0;0;0;0;85;34;1;0;0;0;0;-14,00;19,29
0,20;0;0;0;0;85;34;1;0;0;0;0;-14,00;19,29
0,22;0;0;0;0;85;34;1;0;0;0;0;-14,00;19,13
0,24;0;0;0;0;85;34;1;0;0;0;0;-14,00;18,95
0,25;0;0;0;0;85;34;1;0;0;0;0;-14,00;18,76
0,27;0;0;0;0;85;34;1;0;0;0;0;-14,00;18,55
0,29;0;0;0;0;85;34;1;0;0;0;0;-14,00;18,33
0,30;0;0;0;0;85;34;1;0;0;0;0;-14,00;18,33
0,32;0;0;0;0;85;34;1;0;0;0;0;-14,00;18,10
0,34;0;0;0;0;85;34;1;0;0;0;0;-14,00;17,85
0,35;0;0;0;0;85;34;1;0;0;0;0;-14,00;17,59
0,37;0;0;0;0;85;34;1;0;0;0;0;-14,00;17,32
0,39;0;0;0;0;85;34;1;0;0;0;0;-14,00;17,03
0,40;0;0;0;0;85;34;1;0;0;0;0;-14,00;17,03
0,42;0;0;0;0;85;34;1;0;0;0;0;-14,00;16,73
0,44;0;0;0;0;85;34;1;0;0;0;0;-14,00;16,41
0,45;0;0;0;0;85;34;1;0;0;0;0;-14,00;16,08
0,47;0;0;0;0;85;34;1;0;0;0;0;-14,00;15,74
0,49;0;0;0;0;85;34;1;0;0;0;0;-14,00;15,38
0,50;0;0;0;0;85;34;1;0;0;0;0;-14,00;15,38
0,52;0;0;0;0;85;34;1;0;0;0;0;-14,00;15,01
0,54;0;0;0;0;85;34;1;0;0;0;0;-14,00;14,62
0,55;0;0;0;0;85;34;1;0;0;0;0;-14,00;14,23
0,57;0;0;0;0;85;34;1;0;0;0;0;-14,00;13,81
0,59;0;0;0;0;85;34;1;0;0;0;0;-14,00;13,39
0,60;0;0;0;0;85;34;1;0;0;0;0;-14,00;13,39
0,62;0;0;0;0;85;34;1;0;0;0;0;-14,00;12,95
0,63;0;0;0;0;85;34;1;0;0;0;0;-14,00;12,50
0,65;0;0;0;0;85;34;1;0;0;0;0;-14,00;12,03
0,67;0;0;0;0;85;34;1;0;0;0;0;-14,00;11,55
0,68;0;0;0;0;85;34;1;0;0;0;0;-14,00;11,05
0,70;0;0;0;0;85;34;1;0;0;0;0;-14,00;11,05
0,72;0;0;0;0;85;34;1;0;0;0;0;-14,00;10,55
0,73;0;0;0;0;85;34;1;0;0;0;0;-14,00;10,02
0,75;0;0;0;0;85;34;1;0;0;0;0;-14,00;9,49
0,77;0;0;0;0;85;34;1;0;0;0;0;-14,00;8,94
0,78;0;0;0;0;85;34;1;0;0;0;0;-14,00;8,94
0,80;0;0;0;0;85;34;1;0;0;0;0;-14,00;8,38
0,82;0;0;0;0;85;34;1;0;0;0;0;-14,00;7,80
0,83;0;0;0;0;85;34;1;0;0;0;0;-14,00;7,21
0,85;0;0;0;0;85;34;1;0;0;0;0;-14,00;6,60
0,87;0;0;0;0;85;34;1;0;0;0;0;-14,00;5,99
0,88;0;0;0;0;85;34;1;0;0;0;0;-14,00;5,99
0,90;0;0;0;0;85;34;1;0;0;0;0;-14,00;5,35
0,92;0;0;0;0;85;34;1;0;0;0;0;-14,00;4,71
0,93;0;0;0;0;85;34;1;0;0;0;0;-14,00;4,05
0,95;0;0;0;0;85;34;1;0;0;0;0;-14,00;3,38
0,97;0;0;0;0;85;34;1;0;0;0;0;-14,00;2,69
0,98;0;0;0;0;85;34;1;0;0;0;0;-14,00;2,69
1,00;0;0;0;0;85;34;1;0;0;0;0;-14,00;1,99
1,02;0;0;0;0;85;34;1;0;0;0;0;-14,00;1,27
1,03;0;0;0;0;85;34;1;0;0;0;0;-14,00;0,55
1,05;0;0;0;0;85;34;1;0;0;0;0;-14,00;-0,19
1,07;0;0;0;0;85;34;1;0;0;0;0;-14,00;-0,95
1,08;0;0;0;0;85;34;1;0;0;0;0;-14,00;-0,95
1,10;0;0;0;0;85;34;1;0;0;0;0;-14,00;-1,72
1,12;0;0;0;0;85;34;1;0;0;0;0;-14,00;-2,50
1,13;0;0;0;0;85;34;1;0;0;0;0;-14,00;-3,30
1,15;0;0;0;0;85;34;1;0;0;0;0;-14,00;-4,11
1,17;0;0;0;0;85;34;1;0;0;0;0;-14,00;-4,93
1,18;0;0;0;0;85;34;1;0;0;0;0;-14,00;-4,93
1,20;0;0;0;0;85;34;1;0;0;0;0;-14,00;-5,77
1,22;0;0;0;0;85;34;1;0;0;0;0;-14,00;-6,62
1,23;0;0;0;0;85;34;1;0;0;0;0;-14,00;-7,49
1,25;0;0;0;0;85;34;1;0;0;0;0;-14,00;-8,37
1,27;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
1,28;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
1,30;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
1,32;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
1,33;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
1,35;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
1,37;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
1,38;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
1,40;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
1,42;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
1,43;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
1,45;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
1,47;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
1,48;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
1,50;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
1,52;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
1,53;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
1,55;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
1,57;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
1,58;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
1,60;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
1,62;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
1,63;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
1,65;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
1,67;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
1,68;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
1,70;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
1,72;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
1,73;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
1,75;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
1,77;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
1,78;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
1,80;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
1,82;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
1,83;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
1,85;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
1,86;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
1,88;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
1,90;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
1,91;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
1,93;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
1,95;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
1,96;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
1,98;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,00;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,01;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,03;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,05;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,06;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,08;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,10;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,11;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,13;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,15;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,16;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,18;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,20;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,21;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,23;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,25;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,26;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,28;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,30;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,31;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,33;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,35;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,36;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,38;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,40;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,41;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,43;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,45;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,46;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,48;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,50;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,51;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,53;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,55;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,56;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,58;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,60;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,61;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,63;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,65;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,66;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,68;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,70;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,71;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,73;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,75;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,76;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,78;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,80;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,81;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,83;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,85;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,86;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,88;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,90;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,91;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,93;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,95;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,96;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
2,98;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,00;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,01;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,03;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,05;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,06;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,08;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,09;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,11;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,13;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,14;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,16;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,18;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,19;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,21;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,23;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,24;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,26;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,28;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,29;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,31;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,33;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,34;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,36;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,38;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,39;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,41;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,43;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,44;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,46;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,48;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,49;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,51;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,53;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,54;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,56;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,58;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,59;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,61;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,63;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,64;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,66;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,68;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,69;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,71;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,73;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,74;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,76;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,78;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,79;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,81;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,83;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,84;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,86;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,88;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,89;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,91;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,93;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,94;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,96;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,98;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
3,99;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
4,01;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
4,03;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
4,04;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
4,06;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
4,08;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
4,09;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
4,11;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
4,13;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
4,14;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
4,16;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
4,18;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
4,19;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
4,21;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
4,23;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
4,24;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
4,26;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
4,28;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
4,29;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
4,31;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
4,32;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
4,34;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
4,36;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
4,37;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
4,39;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
4,41;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
4,42;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
4,44;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
4,46;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
4,47;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
4,49;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
4,51;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
4,52;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
4,54;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
4,56;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
4,57;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
4,59;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
4,61;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
4,62;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
4,64;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
4,66;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
4,67;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
4,69;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
4,71;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
4,72;0;0;0;0;85;34;1;0;0;0;0;-14,00;-9,13
4,74;0;1;0;0;85;34;1;0;0;0;0;-14,00;-9,13
4,76;0;1;0;0;85;34;1;0;0;0;0;-14,10;-9,13
4,77;0;1;0;0;85;34;1;0;0;0;0;-14,19;-9,13
4,79;0;1;0;0;85;34;1;0;0;0;0;-14,29;-9,13
4,81;0;1;0;0;85;34;1;0;0;0;0;-14,38;-9,13
4,82;0;1;0;0;85;34;1;0;0;0;0;-14,38;-9,13
4,84;0;1;0;0;85;34;1;0;0;0;0;-14,48;-9,13
4,86;0;1;0;0;85;34;1;0;0;0;0;-14,58;-9,13
4,87;0;1;0;0;85;34;1;0;0;0;0;-14,67;-9,13
4,89;0;1;0;0;85;34;1;0;0;0;0;-14,77;-9,13
4,91;0;1;0;0;85;34;1;0;0;0;0;-14,87;-9,13
4,92;0;1;0;0;85;34;1;0;0;0;0;-14,87;-9,13
4,94;0;1;0;0;85;34;1;0;0;0;0;-14,96;-9,13
4,96;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
4,97;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
4,99;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,01;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,02;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,04;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,06;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,07;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,09;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,11;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,12;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,14;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,16;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,17;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,19;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,21;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,22;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,24;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,26;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,27;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,29;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,31;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,32;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,34;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,36;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,37;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,39;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,41;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,42;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,44;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,46;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,47;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,49;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,51;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,52;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,54;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,55;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,57;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,59;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,60;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,62;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,64;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,65;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,67;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,69;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,70;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,72;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,74;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,75;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,77;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,79;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,80;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,82;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,84;0;0;0;0;85;34;1;0;0;0;0;-15,06;-9,13
5,85;0;0;1;0;85;34;1;0;0;0;0;-15,06;-9,13
5,87;0;0;1;0;85;34;1;0;0;0;0;-14,96;-9,13
5,89;0;0;1;0;85;34;1;0;0;0;0;-14,87;-9,13
5,90;0;0;1;0;85;34;1;0;0;0;0;-14,87;-9,13
5,92;0;0;1;0;85;34;1;0;0;0;0;-14,77;-9,13
5,94;0;0;1;0;85;34;1;0;0;0;0;-14,67;-9,13
5,95;0;0;1;0;85;34;1;0;0;0;0;-14,58;-9,13
5,97;0;0;1;0;85;34;1;0;0;0;0;-14,48;-9,13
5,99;0;0;1;0;85;34;1;0;0;0;0;-14,38;-9,13
6,00;0;0;1;0;85;34;1;0;0;0;0;-14,38;-9,13
6,02;0;0;0;0;85;34;1;0;0;0;0;-14,29;-9,13
6,04;0;0;0;0;85;34;1;0;0;0;0;-14,29;-9,13
6,05;0;0;0;0;85;34;1;0;0;0;0;-14,29;-9,13
6,07;0;0;0;0;85;34;1;0;0;0;0;-14,29;-9,13
6,09;0;0;0;0;85;34;1;0;0;0;0;-14,29;-9,13
6,10;0;0;0;0;85;34;1;0;0;0;0;-14,29;-9,13
6,12;0;0;0;0;85;34;1;0;0;0;0;-14,29;-9,13
6,14;0;0;0;0;85;34;1;0;0;0;0;-14,29;-9,13
6,15;0;0;0;0;85;34;1;0;0;0;0;-14,29;-9,13
6,17;0;0;0;0;85;34;1;0;0;0;0;-14,29;-9,13
6,19;0;0;0;0;85;34;1;0;0;0;0;-14,29;-9,13
6,20;0;0;0;0;85;34;1;0;0;0;0;-14,29;-9,13
6,22;0;0;0;0;85;34;1;0;0;0;0;-14,29;-9,13
6,24;0;0;0;0;85;34;1;0;0;0;0;-14,29;-9,13
6,25;0;0;0;0;85;34;1;0;0;0;0;-14,29;-9,13
6,27;0;0;1;0;85;34;1;0;0;0;0;-14,29;-9,13
6,29;0;0;1;0;85;34;1;0;0;0;0;-14,19;-9,13
6,30;0;0;1;0;85;34;1;0;0;0;0;-14,19;-9,13
6,32;0;0;1;0;85;34;1;0;0;0;0;-14,10;-9,13
6,34;0;0;1;0;85;34;1;0;0;0;0;-14,00;-9,13
